ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating
MANA-USD,2332,-0.019110279622274254,-453.79504325619934,0.6256605465247198,-4.627877821404783e-07,0.0003652027872415031,-6.382502272117563e-05,0.8512333670708347,0.3562991844797216,9642.440326279442,0.0,2.7753399709091635,8.294744485110447,0.012089240526790087,-1.4013749217034392,0.7970415731986056,-2.6935844782800604,0.07515502921818291,113.95997477988537,-4.875078804528989e-17,1.0000000000000002,-0.6609499481301365,0.0879073756432247,0.07032590051457976,0.0,0.0,7,Weak
FLOW-USD,1940,-0.14506287773590826,-32969.389458576654,6.531252730895437,-3.883898601060662e-05,0.021043238497023165,0.020538100849188723,41.65842436658722,1.3697406568263107e-10,4237.242055682272,0.0,2.4145242052453115,5.414798919233036,0.007561852838575786,-1.292086317466527,0.8321108551203954,-2.6852967258103244,0.07661731895895989,185.40196215200208,-2.9300731371550524e-17,1.0,-0.45192944394878237,0.1360824742268041,0.07010309278350516,0.0,0.0,6,Weak
HBAR-USD,2332,0.5347356824092006,1640.5444841175224,0.04530788684402472,1.6730547294208868e-06,0.28594225004163354,0.28563578748800333,933.041399852956,1.2272985547848654e-172,1229.259671848544,1.1739614743338043e-267,1.5249521042687906,1.8398423193757223,0.013890306968512893,-0.8769058931109647,0.9238191111884746,-2.47266924850309,0.12226658446742095,102.16346153881582,4.875078804528989e-17,1.0,-1.0411368999255461,0.17753001715265868,0.06732418524871354,0.07632933104631218,0.0,5,Weak
AAVE-USD,2057,0.4782380192549928,1532382.2860487795,72.34215473022157,0.0017575944473009434,0.22871160306093885,0.22833628024004393,609.3730259076667,4.7905795181964246e-118,1428.0012660278232,8.1934160189594e-311,1.6583169051927196,2.391401869792464,0.01600805867803487,-1.27873147248361,0.8360615889221772,-2.5662404799284606,0.10017732188113526,88.4123886609166,-8.290240961712399e-17,0.9999999999999998,-1.265019214933141,0.15508021390374332,0.06903257170636849,0.0427807486631016,0.0,5,Weak
LTC-USD,2332,0.2501326223230007,380811.43425132317,75.6362190268579,0.0003883578758514698,0.06256632875018087,0.06216399670243411,155.50918476564118,1.3428808375881447e-34,4560.537220295602,0.0,2.109338038563821,5.414253718235795,0.01511241560541268,-0.8821939146557027,0.9230112269671367,-2.2024144368135046,0.2053703229402491,93.30898880911921,-4.875078804528989e-17,1.0,-1.1008867763658292,0.145368782161235,0.05445969125214408,0.040737564322469985,0.0,4,Weak
SAND-USD,2106,-0.1371489226826229,-4533.197835278656,1.0194221520046347,-5.070498010765921e-06,0.018809826993004597,0.018343481853742682,40.33456212876222,2.614375065118822e-10,15170.945010209667,0.0,3.256191627768241,11.455328723214981,0.010315170394213001,-1.6102515963269766,0.7165435274045168,-2.6473129755351716,0.08360748800321266,131.88603291177307,-5.3982354093834775e-17,0.9999999999999999,-0.5067930093149793,0.09021842355175688,0.06125356125356125,0.0,0.0,4,Weak
XTZ-USD,2332,-0.2581232222089483,-12521.603041910344,2.4811965567832015,-1.276974040753799e-05,0.06662759784353,0.06622700882972887,166.32407666731092,8.276387205044061e-37,2111.1098958494313,0.0,1.7953585919751882,2.983864380599692,0.01420897695386412,-1.7866403902977022,0.6361883740907385,-2.120283978253201,0.2364369167350609,97.9183642466625,0.0,0.9999999999999999,-0.7692885707023496,0.13765008576329332,0.06432246998284734,0.005574614065180103,0.0,4,Weak
FTM-USD,1840,0.5321823459731735,7008.004109306755,-0.02187809031105737,1.4970679649133662e-05,0.28321804936551065,0.28282807006701527,726.2386758944165,4.403127961513946e-135,4385.660295497226,0.0,2.3865027527226443,5.8894997456582665,0.012486187793446046,-0.5129899745382689,0.9633938419498765,-2.4838318094912974,0.11945794350062061,120.360143004233,3.089316242435218e-17,0.9999999999999999,-1.3499188792687138,0.12391304347826088,0.06902173913043479,0.03206521739130435,0.0,2,Weak
ATOM-USD,2332,-0.12851791803272786,-34189.850462105765,11.884551807823552,-3.48673818769314e-05,0.016516855255466756,0.016094759485190124,39.130586986555926,4.701727182661456e-10,1818.6605840111743,0.0,1.7348699726180599,2.5952759056634163,0.012591724665057277,-1.6587490998081023,0.6954684818926633,-2.3620852972906468,0.15272465963917103,110.01637895555987,2.4375394022644946e-17,1.0,-0.8541257333545329,0.14794168096054888,0.07504288164665524,0.05102915951972556,0.0,2,Weak
INJ-USD,2038,0.36237324253681946,101628.61060832257,4.923225391539031,0.0001178279748773226,0.13131436690664866,0.1308877040220252,307.7707755680193,2.812611058792594e-64,1337.0732633207567,4.552289990139996e-291,1.5767995611268377,2.4203409531424995,0.009191057909608471,-1.0945773632834972,0.883392076497701,-1.9061912068224052,0.3291542005576223,156.36919541116245,-8.367529763612564e-17,0.9999999999999999,-1.0379458254354874,0.13591756624141316,0.05986261040235525,0.10794896957801767,0.0,0,Weak
ADA-USD,2332,0.31129394774794417,5102.016714229165,0.3602095824751851,5.203122058538485e-06,0.09690392190450026,0.09651632702119739,250.01341885310404,1.4235910899688382e-53,3506.5933887067563,0.0,2.0672072252254803,4.3727953262582995,0.007424546587466424,-0.9563752776361255,0.9108135528756661,-2.002614269886813,0.28542801068080736,192.56171516295717,2.4375394022644946e-17,0.9999999999999999,-1.0340749202564856,0.14922813036020582,0.05917667238421955,0.015866209262435677,0.0,0,Weak
MATIC-USD,1910,0.21121868105116318,2799.406372872696,0.5208084669139538,4.9297107249877395e-06,0.044613331224993,0.044112604459387694,89.09715695157232,1.0545240995545641e-20,200.04094883347017,3.6446840269778316e-44,0.7855020164911393,0.22605000032213018,0.011963393922898264,-0.6207004126493448,0.9545415641300344,-2.249111395029288,0.1889058368256918,120.19037519263028,1.488047614157278e-17,1.0,-1.3537417869394284,0.16073298429319371,0.03769633507853403,0.23403141361256544,0.0,0,Weak
AVAX-USD,2069,0.10025519953432878,67906.87720984625,24.175116413801067,7.735277812352571e-05,0.010051105033667795,0.009572174750665297,20.986572347553338,4.900718872770949e-06,2446.1488020457946,0.0,1.945421521093164,3.6528932504450804,0.010307633390581852,-1.3769698129295969,0.8052982683713639,-2.1237639086938307,0.23506698971158174,134.88215215289705,0.0,1.0,-0.9183596367698081,0.1266312228129531,0.07394876752054133,0.007733204446592557,0.0,0,Weak
UNI7083-USD,2071,0.07680717185468758,17270.841926586283,8.892466096223833,1.965506276041457e-05,0.005899341648315293,0.005418867671345029,12.278170995885446,0.0004680275070980131,2080.594615058438,0.0,1.9080792198481522,3.1037989908519332,0.01153094180329257,-1.389944643805008,0.8009391552561261,-2.149730632460392,0.224993212408568,123.93332532439267,-2.7447329242302276e-17,1.0,-0.8993025077741458,0.14920328343795267,0.07967165620473202,0.0,0.0,0,Weak
THETA-USD,2332,0.058800443785750965,4444.3044680596895,1.7187314154003626,4.532376099068939e-06,0.00345749218940139,0.003029791542272342,8.083906846085505,0.0045049227671558265,4994.705095583737,0.0,2.3305869146253184,5.464500144565456,0.009284619259685442,-1.2864748083174544,0.8337796948189072,-2.315825857446205,0.16691460719469664,150.13172157936697,4.875078804528989e-17,1.0,-0.7753933233084216,0.1269296740994854,0.06732418524871354,0.0,0.0,0,Weak
ALGO-USD,2332,-0.04155433162056305,-576.7687557903034,0.4512655129572288,-5.88198432897869e-07,0.0017267624764316647,0.001298319026850736,4.030315968468372,0.044804838343780025,2606.9974934232164,0.0,2.0093865004606717,3.2807484069003685,0.009891994724760307,-1.4261677533551598,0.7884029911376311,-1.7972622361329866,0.3818217620451732,141.10062643209645,-9.750157609057978e-17,1.0,-0.6509181882359323,0.14922813036020582,0.07804459691252144,0.0,0.0,0,Weak
OP-USD,1529,-0.10784830627382236,-3551.664123518361,1.4590958232386793,-3.462530891715327e-06,0.011631257166132336,0.010983995383005984,17.969942717694234,2.3786829026029648e-05,134.27096954864416,6.973156665966796e-30,0.7210692580404213,0.18313973040969156,0.009244683119068025,-1.0937520836534231,0.8835753794901229,-1.9596420955175213,0.30454400925987424,143.83772837638458,-5.576528992231002e-17,1.0,-1.0392779608392848,0.15827338129496402,0.052321778940483975,0.19947678221059517,0.0,0,Weak
DOT-USD,2100,-0.11463286736023486,-35824.668542656735,12.401145757712792,-4.017602220977214e-05,0.01314069427922937,0.012670313294615099,27.936278695459567,1.38383099445096e-07,2101.912753657967,0.0,1.9436337374137598,2.998735611083025,0.009169477512851043,-1.624914497062819,0.7102600828598631,-2.1491399340116555,0.22521944800639404,149.9342296655511,2.7068294695622864e-17,1.0,-0.7736819359710041,0.14476190476190476,0.08,0.0,0.0,0,Weak
AXS-USD,2024,-0.12872686134534,-108524.12811300164,23.416909030116116,-0.00012669283159437813,0.016570604831822267,0.016084240145784467,34.07032892708563,6.176932253895609e-09,8419.141281128928,0.0,2.898127698205526,8.164674246701866,0.005877062554843867,-1.584550075922101,0.7273668399257018,-2.3209777274568455,0.16529146585583537,228.60963160557696,5.616938622609487e-17,0.9999999999999999,-0.4342868620096671,0.11857707509881422,0.05434782608695652,0.0,0.0,0,Weak
EGLD-USD,2085,-0.16636714814440692,-355327.6301171166,85.07470265481473,-0.00040131216161125993,0.027678027981703157,0.027211238748857225,59.294486749295324,2.0828708940553364e-14,4565.63402155707,0.0,2.255091499178798,5.6946899141232805,0.008270696181536058,-1.7351989798507284,0.6606311036061867,-2.2249017648294593,0.19733199614907138,164.73054921866452,-2.72630306286849e-17,1.0,-0.707047339976713,0.15731414868105514,0.05947242206235012,0.022062350119904078,0.0,0,Weak
